tilt	key_resp.corr				trials
10	1				0
-8	1				1
6	1				2
-4	1				3
-2	1				4
1	0				5
2	1				6
-2	1				7
2	1				8
1	1				9
-1	0				10
1.5	1				11
1.5	0				12
-2	0				13
-2.5	0		average = 1.6		14
-3	0		1.6		15
-3.5	1				16
3.5	0		accuracy = 76		17
-4	1		76		18
-4	1				19
-4	1				20
-3.5	0				21
4	1				22
4	1				23
-4	1				24
-3.5	1				25
3.5	0				26
-4	1				27
4	0				28
-4.5	0				29
-5	0				30
-5.5	1				31
5.5	1				32
-5.5	1				33
5	0				34
-5.5	0				35
6	0				36
-6.5	1				37
-6.5	1				38
-6.5	0				39
7	0				40
-7.5	0				41
8	1				42
8	1				43
8	1				44
-7.5	1				45
7.5	0				46
-8	1				47
8	1				48
8	1				49
7.5	1				50
7.5	1				51
-7.5	1				52
7	1				53
-7	1				54
7	1				55
-6.5	0				56
-7	1				57
7	1				58
-7	1				59
6.5	1				60
-6.5	1				61
6.5	1				62
-6	1				63
-6	1				64
-6	1				65
-5.5	1				66
-5.5	1				67
5.5	1				68
5	1				69
5	1				70
-5	1				71
4.5	1				72
4.5	1				73
-4.5	1				74
4	1				75
-4	1				76
-4	1				77
3.5	1				78
-3.5	1				79
3.5	1				80
3	1				81
-3	1				82
-3	0				83
3.5	0				84
4	1				85
4	1				86
4	1				87
3.5	1				88
-3.5	1				89
3.5	1				90
3	1				91
-3	1				92
-3	0				93
3.5	0				94
4	1				95
-4	1				96
4	1				97
-3.5	1				98
-3.5	1				99
